,Nom,Prix(€),Informations Supplementaires,Reference url
24,Asus GeForce RTX 3060 PHOENIX v2 (12 Go) (LHR),399.99,Carte graphique - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20010780.html
25,Asus GeForce RTX 3060 Ti DUAL MINI O8G V2 (LHR),529.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR - Mémoire GDDR6,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20009892.html
26,Asus GeForce RTX 3060 Ti DUAL O8G V2 (LHR),549.99,Carte graphique overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR - Mémoire GDDR6,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20009890.html
27,Asus GeForce RTX 3060 Ti DUAL O8GD6X (LHR),519.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR - Mémoire GDDR6X,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016519.html
28,Asus GeForce RTX 3060 Ti TUF O8GD6X GAMING (LHR) + 45€ remboursés avec Asus,539.99,Carte graphique overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR - Mémoire GDDR6X,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20015633.html
29,Asus GeForce RTX 3060 TUF GAMING O12G V2 (12 Go) (LHR) + 40€ remboursés avec Asus,469.99,Carte graphique overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20009714.html
30,Asus GeForce RTX 4070 DUAL 12G + Passe de combat ultime Overwatch 2 offert !,659.99,Carte graphique - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20017489.html
31,Asus GeForce RTX 4070 DUAL O12G + Passe de combat ultime Overwatch 2 offert !,679.99,Carte graphique - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20017488.html
32,ASUS GeForce RTX 4070 Ti ROG STRIX 12G GAMING + Passe de combat ultime Overwatch 2 offert !,1189.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016007.html
33,ASUS GeForce RTX 4070 Ti ROG STRIX O12G GAMING + Passe de combat ultime Overwatch 2 offert !,1219.99,Carte graphique PCI-Express overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016008.html
34,ASUS GeForce RTX 4070 Ti TUF 12G GAMING + Passe de combat ultime Overwatch 2 offert !,1079.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016009.html
35,ASUS GeForce RTX 4070 Ti TUF O12G GAMING + 70€ remboursés avec Asus,1099.99,Carte graphique overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016010.html
36,Asus GeForce RTX 4070 TUF 12G GAMING + Passe de combat ultime Overwatch 2 offert !,899.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20017592.html
37,Asus GeForce RTX 4070 TUF O12G GAMING + Passe de combat ultime Overwatch 2 offert !,929.99,Carte graphique overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20017487.html
38,Asus GeForce RTX 4080 NOCTUA O16G + Passe de combat ultime Overwatch 2 offert !,1879.99,Carte graphique overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20017695.html
39,Asus GeForce RTX 4080 ROG STRIX 16G GAMING + Passe de combat ultime Overwatch 2 offert !,1749.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20015584.html
40,Asus GeForce RTX 4080 ROG STRIX 16G WHITE + Passe de combat ultime Overwatch 2 offert !,1699.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016852.html
41,Asus GeForce RTX 4080 ROG STRIX O16G GAMING + Passe de combat ultime Overwatch 2 offert !,1789.99,Carte graphique overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20015585.html
42,Asus GeForce RTX 4080 ROG STRIX O16G WHITE + Passe de combat ultime Overwatch 2 offert !,1779.99,Carte graphique overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016053.html
43,Asus GeForce RTX 4080 TUF 16G GAMING + Passe de combat ultime Overwatch 2 offert !,1399.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016054.html
44,Asus GeForce RTX 4080 TUF O16G GAMING + 100€ remboursés avec Asus,1549.99,Carte graphique overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20015583.html
45,Asus GeForce RTX 4090 ROG STRIX 24G GAMING + Passe de combat ultime Overwatch 2 offert !,2399.99,Carte graphique - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016052.html
46,Asus GeForce RTX 4090 ROG STRIX 24G WHITE + Passe de combat ultime Overwatch 2 offert !,2429.99,Carte graphique PCI-Express - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016845.html
47,Asus GeForce RTX 4090 ROG STRIX O24G GAMING + Passe de combat ultime Overwatch 2 offert !,2429.99,Carte graphique overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20015586.html
48,Asus GeForce RTX 4090 ROG STRIX O24G WHITE + Passe de combat ultime Overwatch 2 offert !,2479.99,Carte graphique PCI-Express overclockée - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20016051.html
49,Asus GeForce RTX 4090 TUF 24G GAMING + Passe de combat ultime Overwatch 2 offert !,2229.99,Carte graphique PCI-Express - Refroidissement semi-passif (mode 0 dB) - Avec backplate - Compatible VR,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20015955.html
