,Nom,Prix(€),Informations Supplementaires,Reference url
24,AMD Ryzen 9 5900X (3.7 GHz),439.99,Processeur Socket AM4 - 12 coeurs - Cache 70 Mo - Vermeer - Ventirad non inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20005855.html
25,AMD Ryzen 9 5950X (3.4 GHz),649.99,Processeur Socket AM4 - 16 coeurs - Cache 72 Mo - Vermeer - Ventirad non inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20005856.html
26,AMD Ryzen 9 7900 (4.0 GHz) + STAR WARS Jedi: Survivor offert !,529.99,Processeur Socket AM5 - 12 coeurs - Cache 64 Mo - Raphael,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20016172.html
27,AMD Ryzen 9 7900X (4.7 GHz) + STAR WARS Jedi: Survivor offert !,549.99,Processeur Socket AM5 - 12 coeurs - Cache 64 Mo - Raphael - Ventirad non inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20014716.html
28,AMD Ryzen 9 7900X3D (4.4 GHz),719.99,Processeur Socket AM5 - 12 coeurs - Cache 140 Mo - Raphael - Ventirad non inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20016947.html
29,AMD Ryzen 9 7950X (4.5 GHz) + STAR WARS Jedi: Survivor offert !,749.99,Processeur Socket AM5 - 16 coeurs - Cache 64 Mo - Raphael - Ventirad non inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20014718.html
30,AMD Ryzen 9 7950X3D (4.2 GHz),879.99,Processeur Socket AM5 - 16 coeurs - Cache 144 Mo - Raphael - Ventirad non inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20016946.html
31,AMD Ryzen Threadripper 3960X (3.8 GHz),1629.99,Processeur Socket TRX4 - 24 coeurs - Cache 140 Mo - Castle Peak - Ventirad non inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in11019634.html
32,AMD Ryzen Threadripper 3970X (3.7 GHz),2789.99,Processeur Socket TRX4 - 32 Coeurs - Cache 144 Mo - Castle Peak - Ventirad non inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in11019635.html
33,AMD Ryzen Threadripper 3990X (2.9 GHz),5159.99,Processeur Socket TRX4 - 64 coeurs - Cache 288 Mo - Castle Peak - Ventirad non inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in11020329.html
34,Intel Celeron G5905 (3.5 GHz),49.99,Processeur Socket 1200 - Dual Core - Cache 4 Mo - Comet Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20004976.html
35,Intel Celeron G5925 (3.6 GHz),54.99,Processeur Socket 1200 - Dual Core - Cache 4 Mo - Comet Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20009646.html
36,Intel Celeron G6900 (3.4 GHz),76.99,Processeur Socket 1700 - Dual Core - Cache 4 Mo - Alder Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20012034.html
37,Intel Core i3-10100 (3.6 GHz),119.99,Processeur Socket 1200 - Quad Core - Cache 6 Mo - Comet Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20001236.html
38,Intel Core i3-10100F (3.6 GHz),87.99,Processeur Socket 1200 - Quad Core - Cache 6 Mo - Comet Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20005971.html
39,Intel Core i3-10105 (3.7 GHz),124.99,Processeur Socket 1200 - Quad Core - Cache 6 Mo - Comet Lake Refresh - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20008177.html
40,Intel Core i3-10105F (3.7 GHz),89.99,Processeur Socket 1200 - Quad Core - Cache 6 Mo - Comet Lake Refresh - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20009339.html
41,Intel Core i3-12100 (3.3 GHz),159.99,Processeur Socket 1700 - Quad Core - Cache 12 Mo - Alder Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20012028.html
42,Intel Core i3-12100F (3.3 GHz),114.99,Processeur Socket 1700 - Quad Core - Cache 12 Mo - Alder Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20012024.html
43,Intel Core i3-13100 (3.4 GHz),179.99,Processeur Socket 1700 - Quad Core - Cache 12 Mo - Raptor Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20016201.html
44,Intel Core i3-13100F (3.4 GHz),139.99,Processeur Socket 1700 - Quad Core - Cache 12 Mo - Raptor Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20016202.html
45,Intel Core i5-10400 (2.9 GHz),139.99,Processeur Socket 1200 - Hexa Core - Cache 12 Mo - Comet Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20001235.html
46,Intel Core i5-10400F (2.9 GHz),114.99,Processeur Socket 1200 - Hexa Core - Cache 12 Mo - Comet Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20001234.html
47,Intel Core i5-10500 (3.1 GHz),234.99,Processeur Socket 1200 - Hexa Core - Cache 12 Mo - Comet Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20001233.html
48,Intel Core i5-11400 (2.6 GHz),174.99,Processeur Socket 1200 - Hexa Core - Cache 12 Mo - Rocket Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20009128.html
49,Intel Core i5-11400F (2.6 GHz),149.99,Processeur Socket 1200 - Hexa Core - Cache 12 Mo - Rocket Lake - Ventirad inclus,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wpr_puis_ref_est_in20007925.html
