ref,Chargescomprises:,Classeénergie:,Codepostal:,GES:,Loyermensuel:,Meublé/Nonmeublé:,Pièces:,Référence:,Surface:,Typedebien:,Ville:,ref
709991320,Oui,C (de 91 &agrave; 150),35000,,700.0,Non meublé,4,amr-101708-dlc,83 m,Appartement,Rennes,709991320
709919788,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),502.0,Non meublé,2,1844_50801168,47 m,Appartement,Rennes,709919788
709962008,Oui,D (de 151 &agrave; 230),35000,,490.0,Non meublé,2,4746,43 m,Appartement,Rennes,709962008
709877306,Oui,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),891.0,Non meublé,3,ofw-12521-13580-c,71 m,Appartement,Rennes,709877306
709877296,Oui,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),852.0,Non meublé,3,ofw-12508-13580-a,71 m,Appartement,Rennes,709877296
709877272,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),650.0,Non meublé,3,ofw-17484-43477-a,,Appartement,Rennes,709877272
709894682,Oui,B (de 51 &agrave; 90),35000,,720.0,Non meublé,3,05,79 m,Appartement,Rennes,709894682
709894635,Oui,D (de 151 &agrave; 230),35000,,640.0,Non meublé,3,23/09-6138-13387-j,65 m,Appartement,Rennes,709894635
710165227,Oui,F (de 331 &agrave; 450),35000,D (de 21 &agrave; 35),450.0,Non meublé,2,019-2927,50 m,Appartement,Rennes,710165227
709894639,Oui,E (de 231 &agrave; 330),35000,,670.0,Non meublé,2,23/09-17482-50851-a,38 m,Appartement,Rennes,709894639
701311855,,E (de 231 &agrave; 330),35000,E (de 36 &agrave; 55),845.0,Non meublé,5,,85 m,Appartement,Rennes,701311855
709894630,Oui,D (de 151 &agrave; 230),35000,,590.0,Non meublé,2,23/09-17056-52504-c,42 m,Appartement,Rennes,709894630
709859285,,D (de 151 &agrave; 230),35000,G (de 81 &agrave; 110),550.0,Non meublé,3,,60 m,Appartement,Rennes,709859285
709853382,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),390.0,Meublé,1,,12 m,Appartement,Rennes,709853382
709833807,,,35000,,694.0,Non meublé,3,,78 m,Appartement,Rennes,709833807
709830896,,,35000,,550.0,,2,,55 m,Appartement,Rennes,709830896
709825136,,E (de 231 &agrave; 330),35000,E (de 36 &agrave; 55),330.0,Meublé,1,,12 m,Appartement,Rennes,709825136
709819910,,,35000,,710.0,,4,,76 m,Appartement,Rennes,709819910
709807897,,,35000,,530.0,Meublé,2,,32 m,Appartement,Rennes,709807897
709798054,,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),675.0,Non meublé,2,,53 m,Appartement,Rennes,709798054
709793212,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),479.0,Non meublé,2,,43 m,Appartement,Rennes,709793212
709791118,,,35000,,550.0,Non meublé,,,75 m,Appartement,Rennes,709791118
690844436,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),620.0,Non meublé,3,,64 m,Appartement,Rennes,690844436
709774846,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),600.0,Meublé,2,,42 m,Appartement,Rennes,709774846
709764420,,E (de 231 &agrave; 330),35000,F (de 56 &agrave; 80),550.0,Non meublé,2,,44 m,Appartement,Rennes,709764420
709764085,,Vierge,35000,Vierge,345.0,Non meublé,1,,32 m,Appartement,Rennes,709764085
709757269,Non,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),820.0,Non meublé,5,l22df,80 m,Appartement,Rennes,709757269
709842968,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),579.0,Non meublé,2,ofw-9521-13580-h,38 m,Appartement,Rennes,709842968
686806374,,Vierge,35000,Vierge,450.0,Non meublé,1,,25 m,Appartement,Rennes,686806374
709754331,,B (de 51 &agrave; 90),35000,B (de 6 &agrave; 10),510.0,Non meublé,2,,46 m,Appartement,Rennes,709754331
709741055,,B (de 51 &agrave; 90),35000,B (de 6 &agrave; 10),400.0,Meublé,,,12 m,Appartement,Rennes,709741055
709739291,,D (de 151 &agrave; 230),35000,B (de 6 &agrave; 10),550.0,Meublé,2,,44 m,Appartement,Rennes,709739291
701192896,,E (de 231 &agrave; 330),35000,E (de 36 &agrave; 55),530.0,Non meublé,2,,42 m,Appartement,Rennes,701192896
709733449,,,35000,,800.0,Non meublé,3,,72 m,Appartement,Rennes,709733449
709706931,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),270.0,,1,,19 m,Appartement,Rennes,709706931
709706120,,,35000,,750.0,Non meublé,3,,69 m,Appartement,Rennes,709706120
644156632,,,35000,,535.0,Non meublé,3,,70 m,Appartement,Rennes,644156632
709842970,Oui,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),896.0,Non meublé,3,ofw-14393-13580-m,70 m,Appartement,Rennes,709842970
695009192,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),590.0,Non meublé,2,,41 m,Appartement,Rennes,695009192
709679304,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),580.0,Non meublé,2,,43 m,Appartement,Rennes,709679304
709672208,Non,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),610.0,Non meublé,3,012/1523,76 m,Appartement,Rennes,709672208
709668713,,Vierge,35000,Vierge,799.0,,,,68 m,Appartement,Rennes,709668713
709646748,,,35000,,420.0,Meublé,2,,16 m,Appartement,Rennes,709646748
709688804,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),746.0,Non meublé,2,g1118ab,56 m,Appartement,Rennes,709688804
709615419,,,35000,,800.0,,3,,60 m,Appartement,Rennes,709615419
709599416,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),450.0,Meublé,1,,27 m,Appartement,Rennes,709599416
709598372,,,35000,,460.0,Meublé,,,33 m,Appartement,Rennes,709598372
709781996,Oui,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),890.0,Non meublé,5,hg1199-20-j-2,84 m,Appartement,Rennes,709781996
709581896,,,35000,,360.0,Meublé,,,65 m,Appartement,Rennes,709581896
709571332,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),530.0,Non meublé,3,,40 m,Appartement,Rennes,709571332
709558928,,,35000,,550.0,Non meublé,2,,42 m,Appartement,Rennes,709558928
