ref,Chargescomprises:,Classeénergie:,Codepostal:,GES:,Loyermensuel:,Meublé/Nonmeublé:,Pièces:,Référence:,Surface:,Typedebien:,Ville:,ref
663140378,Oui,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),695.0,Non meublé,3,t3rossa,59 m,Appartement,Rennes,663140378
708340562,,E (de 231 &agrave; 330),35000,,465.0,Non meublé,2,,40 m,Appartement,Rennes,708340562
441092534,,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),515.0,Meublé,1,,20 m,Appartement,Rennes,441092534
699454254,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),638.0,Non meublé,4,,69 m,Appartement,Rennes,699454254
708471970,Oui,,35000,,510.0,Non meublé,2,hg60522,42 m,Appartement,Rennes,708471970
708512335,Oui,E (de 231 &agrave; 330),35000,E (de 36 &agrave; 55),490.0,Non meublé,1,2672,25 m,Appartement,Rennes,708512335
708449625,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),889.0,Non meublé,4,8037v,76 m,Appartement,Rennes,708449625
702187628,Oui,F (de 331 &agrave; 450),35000,,465.0,,1,299,27 m,Appartement,Rennes,702187628
678547226,Oui,E (de 231 &agrave; 330),35000,,610.0,,2,191,47 m,Appartement,Rennes,678547226
708340621,Oui,,35000,,865.0,Non meublé,4,g251sl,79 m,Appartement,Rennes,708340621
705359890,Non,F (de 331 &agrave; 450),35000,G (de 81 &agrave; 110),350.0,Non meublé,2,,33 m,Appartement,Rennes,705359890
708256988,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),480.0,Non meublé,2,,43 m,Appartement,Rennes,708256988
708449613,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),512.0,Non meublé,3,2350v,47 m,Appartement,Rennes,708449613
708275609,Oui,D (de 151 &agrave; 230),35000,,490.0,Non meublé,2,60808,30 m,Appartement,Rennes,708275609
708334161,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),605.0,Non meublé,2,230,40 m,Appartement,Rennes,708334161
708248547,Oui,G (de 451 &agrave; 590),35000,,480.0,Non meublé,2,3876,45 m,Appartement,Rennes,708248547
708201301,,,35000,,517.0,Meublé,2,,18 m,Appartement,Rennes,708201301
708186114,Non,B (de 51 &agrave; 90),35000,B (de 6 &agrave; 10),420.0,Non meublé,1,144,35 m,Appartement,Rennes,708186114
708183028,,,35000,,600.0,Non meublé,3,,66 m,Appartement,Rennes,708183028
708192323,Oui,F (de 331 &agrave; 450),35000,,477.0,Non meublé,2,10,36 m,Appartement,Rennes,708192323
708269333,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),562.0,Non meublé,2,ofw-15948-13580-d,39 m,Appartement,Rennes,708269333
708167804,Oui,C (de 91 &agrave; 150),35000,,688.0,Non meublé,,leitrim272,,Appartement,Rennes,708167804
708314593,Oui,,35000,,731.0,Non meublé,3,solaris,73 m,Appartement,Rennes,708314593
701069587,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),580.0,Non meublé,2,,50 m,Appartement,Rennes,701069587
708389859,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),495.0,Non meublé,2,ofw-5653-11635-j,33 m,Appartement,Rennes,708389859
708172480,Oui,,35000,,548.0,Non meublé,2,14033dq,46 m,Appartement,Rennes,708172480
708136127,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),720.0,Non meublé,3,,66 m,Appartement,Rennes,708136127
708322983,Oui,,35000,,580.0,Non meublé,2,pere-grignon,44 m,Appartement,Rennes,708322983
708163589,Oui,C (de 91 &agrave; 150),35000,,500.0,Non meublé,,germain96,,Appartement,Rennes,708163589
708156019,Oui,B (de 51 &agrave; 90),35000,,639.0,Non meublé,,nivet305,,Appartement,Rennes,708156019
708145827,Oui,B (de 51 &agrave; 90),35000,,639.0,Non meublé,,nivet205,,Appartement,Rennes,708145827
708158316,Oui,B (de 51 &agrave; 90),35000,,697.0,Non meublé,,nivet404,,Appartement,Rennes,708158316
708165609,Oui,C (de 91 &agrave; 150),35000,,480.0,Non meublé,,germain98,,Appartement,Rennes,708165609
708088807,,,35000,,750.0,Non meublé,3,,68 m,Appartement,Rennes,708088807
708062290,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),480.0,Non meublé,2,,50 m,Appartement,Rennes,708062290
707689096,,E (de 231 &agrave; 330),35000,F (de 56 &agrave; 80),620.0,Meublé,2,,42 m,Appartement,Rennes,707689096
708038676,,F (de 331 &agrave; 450),35000,F (de 56 &agrave; 80),390.0,Non meublé,1,,20 m,Appartement,Rennes,708038676
708033408,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),560.0,Non meublé,2,,40 m,Appartement,Rennes,708033408
708032015,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),798.0,Non meublé,3,,70 m,Appartement,Rennes,708032015
708022649,,D (de 151 &agrave; 230),35000,B (de 6 &agrave; 10),950.0,Non meublé,4,,84 m,Appartement,Rennes,708022649
708040424,Oui,,35000,,445.0,Non meublé,1,6480,32 m,Appartement,Rennes,708040424
708040394,Oui,A (moins de 50),35000,,822.0,Non meublé,4,3821,79 m,Appartement,Rennes,708040394
708010684,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),640.0,Non meublé,2,,39 m,Appartement,Rennes,708010684
705117266,,E (de 231 &agrave; 330),35000,F (de 56 &agrave; 80),390.0,Meublé,1,,12 m,Appartement,Rennes,705117266
708007146,,F (de 331 &agrave; 450),35000,G (de 81 &agrave; 110),520.0,Non meublé,1,,28 m,Appartement,Rennes,708007146
707992893,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),295.0,Meublé,1,,10 m,Appartement,Rennes,707992893
707957686,Oui,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),695.0,,3,030_72102,63 m,Appartement,Rennes,707957686
708103627,Oui,A (moins de 50),35000,B (de 6 &agrave; 10),1446.0,Non meublé,4,1554-2414799,106 m,Appartement,Rennes,708103627
707949702,,D (de 151 &agrave; 230),35000,,1277.0,Non meublé,6,,160 m,Appartement,Rennes,707949702
707943756,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),649.0,Non meublé,3,,55 m,Appartement,Rennes,707943756
707939159,,,35000,,567.0,Non meublé,2,,35 m,Appartement,Rennes,707939159
708053551,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),548.0,Non meublé,2,389v,34 m,Appartement,Rennes,708053551
707934341,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),540.0,Non meublé,3,,58 m,Appartement,Rennes,707934341
696884191,Oui,B (de 51 &agrave; 90),35000,B (de 6 &agrave; 10),561.0,Non meublé,2,1310.a.01.018,48 m,Appartement,Rennes,696884191
708053561,Oui,D (de 151 &agrave; 230),35000,B (de 6 &agrave; 10),560.0,Non meublé,2,ng1719,49 m,Appartement,Rennes,708053561
708040393,Oui,B (de 51 &agrave; 90),35000,,885.0,Non meublé,,3612,87 m,Appartement,Rennes,708040393
707957711,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),580.0,,1,030_71978,45 m,Appartement,Rennes,707957711
707972112,Oui,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),896.0,Non meublé,3,sc2011-088,70 m,Appartement,Rennes,707972112
689088705,Oui,C (de 91 &agrave; 150),35000,,493.0,,1,0208,43 m,Appartement,Rennes,689088705
707884285,,C (de 91 &agrave; 150),35000,B (de 6 &agrave; 10),750.0,Non meublé,3,,72 m,Appartement,Rennes,707884285
707873703,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),380.0,Non meublé,2,,28 m,Appartement,Rennes,707873703
708103105,Oui,E (de 231 &agrave; 330),35000,F (de 56 &agrave; 80),476.0,Non meublé,2,fl0448142,48 m,Appartement,Rennes,708103105
707863717,,Vierge,35000,Vierge,590.0,Non meublé,2,,54 m,Appartement,Rennes,707863717
707972091,Oui,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),852.0,Non meublé,3,sc2011-093,70 m,Appartement,Rennes,707972091
707904041,Oui,D (de 151 &agrave; 230),35000,,512.0,Non meublé,1,960708,40 m,Appartement,Rennes,707904041
707854994,,E (de 231 &agrave; 330),35000,E (de 36 &agrave; 55),650.0,Non meublé,3,,58 m,Appartement,Rennes,707854994
689011921,Oui,E (de 231 &agrave; 330),35000,,525.0,Non meublé,2,g00360992,32 m,Appartement,Rennes,689011921
707840002,Non,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),690.0,Non meublé,4,012/1500,69 m,Appartement,Rennes,707840002
694057687,,A (moins de 50),35000,C (de 11 &agrave; 20),760.0,Non meublé,5,,55 m,Appartement,Rennes,694057687
689232391,Oui,C (de 91 &agrave; 150),35000,B (de 6 &agrave; 10),757.0,Non meublé,3,10218913,66 m,Appartement,Rennes,689232391
708103626,Oui,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),1027.0,Non meublé,4,1545-2399703,80 m,Appartement,Rennes,708103626
707910322,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),470.0,Non meublé,2,11759v,28 m,Appartement,Rennes,707910322
689172038,Oui,G (de 451 &agrave; 590),35000,G (de 81 &agrave; 110),275.0,,1,5912,13 m,Appartement,Rennes,689172038
708053595,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),518.0,Non meublé,1,ng1714,28 m,Appartement,Rennes,708053595
707811792,,E (de 231 &agrave; 330),35000,E (de 36 &agrave; 55),415.0,Meublé,1,,29 m,Appartement,Rennes,707811792
574585919,Oui,,35000,,825.0,Non meublé,4,ges20840096,74 m,Appartement,Rennes,574585919
688990115,Oui,C (de 91 &agrave; 150),35000,B (de 6 &agrave; 10),695.0,Non meublé,3,nb-545,70 m,Appartement,Rennes,688990115
707909830,Oui,D (de 151 &agrave; 230),35000,,575.0,Non meublé,2,960144,47 m,Appartement,Rennes,707909830
707972113,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),540.0,Non meublé,2,g1611am,53 m,Appartement,Rennes,707972113
707794293,,,35000,,200.0,Meublé,1,,40 m,Appartement,Rennes,707794293
708040501,Oui,,35000,,440.0,Non meublé,1,8459,20 m,Appartement,Rennes,708040501
707893389,Oui,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),500.0,Non meublé,1,31244,27 m,Appartement,Rennes,707893389
707786038,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),490.0,Non meublé,2,,30 m,Appartement,Rennes,707786038
688990144,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),535.0,Non meublé,2,nb-1092,40 m,Appartement,Rennes,688990144
688999570,Oui,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),623.0,Non meublé,2,5252,51 m,Appartement,Rennes,688999570
708103114,Oui,D (de 151 &agrave; 230),35000,G (de 81 &agrave; 110),444.0,Non meublé,2,fl0444965,47 m,Appartement,Rennes,708103114
707821338,Oui,B (de 51 &agrave; 90),35000,,600.0,Non meublé,,nivet301,,Appartement,Rennes,707821338
707972141,Oui,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),891.0,Non meublé,3,sc2011-071,70 m,Appartement,Rennes,707972141
707957728,Oui,F (de 331 &agrave; 450),35000,G (de 81 &agrave; 110),385.0,,1,030_71921,35 m,Appartement,Rennes,707957728
671073855,Oui,D (de 151 &agrave; 230),35000,,758.0,,3,60420,103 m,Appartement,Rennes,671073855
689128801,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),465.0,Non meublé,2,ofw-9005-8257-h,33 m,Appartement,Rennes,689128801
688934570,Oui,C (de 91 &agrave; 150),35000,,699.0,,4,12321,65 m,Appartement,Rennes,688934570
707728060,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),1145.0,Non meublé,5,g2176sb,116 m,Appartement,Rennes,707728060
707732512,,,35000,,500.0,,2,,46 m,Appartement,Rennes,707732512
707910814,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),964.0,Non meublé,4,12287v,85 m,Appartement,Rennes,707910814
707790487,Oui,C (de 91 &agrave; 150),35000,,640.0,Non meublé,3,525,58 m,Appartement,Rennes,707790487
708101801,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),670.0,Non meublé,3,ges12711716,63 m,Appartement,Rennes,708101801
688891497,Oui,,35000,,850.0,Non meublé,3,g1713-3ab,56 m,Appartement,Rennes,688891497
688894758,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),730.0,Non meublé,2,l1802nd,68 m,Appartement,Rennes,688894758
671068814,Oui,D (de 151 &agrave; 230),35000,,547.0,,2,60672,71 m,Appartement,Rennes,671068814
707696020,,Vierge,35000,Vierge,700.0,Meublé,,,35 m,Appartement,Rennes,707696020
707660440,,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),443.0,Non meublé,1,,30 m,Appartement,Rennes,707660440
707658443,,E (de 231 &agrave; 330),35000,E (de 36 &agrave; 55),510.0,Non meublé,2,,50 m,Appartement,Rennes,707658443
704797265,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),450.0,Non meublé,2,,27 m,Appartement,Rennes,704797265
707647053,,,35000,,570.0,Non meublé,3,,60 m,Appartement,Rennes,707647053
707630189,Oui,F (de 331 &agrave; 450),35000,,405.0,Non meublé,1,1043,24 m,Appartement,Rennes,707630189
393350223,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),770.0,,1,ges39581181,29 m,Appartement,Rennes,393350223
707600989,,,35000,,440.0,Non meublé,2,,30 m,Appartement,Rennes,707600989
707658361,,E (de 231 &agrave; 330),35000,F (de 56 &agrave; 80),330.0,Meublé,3,319,60 m,Appartement,Rennes,707658361
707589528,,D (de 151 &agrave; 230),35000,,770.0,Non meublé,4,,77 m,Appartement,Rennes,707589528
685231677,,,35000,,750.0,Non meublé,3,,67 m,Appartement,Rennes,685231677
707658479,Oui,D (de 151 &agrave; 230),35000,G (de 81 &agrave; 110),700.0,,3,317,79 m,Appartement,Rennes,707658479
707587856,,F (de 331 &agrave; 450),35000,D (de 21 &agrave; 35),410.0,Meublé,1,,20 m,Appartement,Rennes,707587856
544662093,Oui,C (de 91 &agrave; 150),35000,A (moins de 5),628.0,Non meublé,2,161,37 m,Appartement,Rennes,544662093
707543948,,,35000,,415.0,Non meublé,1,,22 m,Appartement,Rennes,707543948
707635272,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),700.0,Non meublé,3,31239,66 m,Appartement,Rennes,707635272
689079081,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),790.0,Non meublé,3,,75 m,Appartement,Rennes,689079081
707576495,Oui,F (de 331 &agrave; 450),35000,C (de 11 &agrave; 20),417.0,Non meublé,1,ofw-17596-52292-a,19 m,Appartement,Rennes,707576495
707484254,,D (de 151 &agrave; 230),35000,F (de 56 &agrave; 80),550.0,Non meublé,2,,49 m,Appartement,Rennes,707484254
707635246,Oui,F (de 331 &agrave; 450),35000,E (de 36 &agrave; 55),315.0,Non meublé,1,31210,18 m,Appartement,Rennes,707635246
707473649,,C (de 91 &agrave; 150),35000,E (de 36 &agrave; 55),750.0,Non meublé,5,,77 m,Appartement,Rennes,707473649
707700940,Oui,C (de 91 &agrave; 150),35000,B (de 6 &agrave; 10),946.0,Non meublé,5,lapp60055,102 m,Appartement,Rennes,707700940
691946939,Non,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),496.0,Non meublé,2,courrouze,49 m,Appartement,Rennes,691946939
707479316,Oui,,35000,,1114.0,Non meublé,5,blayau,92 m,Appartement,Rennes,707479316
702187377,Oui,E (de 231 &agrave; 330),35000,F (de 56 &agrave; 80),456.0,,2,305,43 m,Appartement,Rennes,702187377
688850417,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),515.0,Non meublé,2,10802v,43 m,Appartement,Rennes,688850417
707437772,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),784.0,Non meublé,3,,68 m,Appartement,Rennes,707437772
688735407,Oui,A (moins de 50),35000,,485.0,,1,g00163477,28 m,Appartement,Rennes,688735407
707576519,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),699.0,Non meublé,4,ofw-12321-37649-e,65 m,Appartement,Rennes,707576519
688850507,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),710.0,Non meublé,3,2720,58 m,Appartement,Rennes,688850507
691319155,Oui,D (de 151 &agrave; 230),35000,,820.0,Non meublé,4,,90 m,Appartement,Rennes,691319155
707462251,Oui,,35000,,616.0,Non meublé,2,doyen-yves-millon,38 m,Appartement,Rennes,707462251
691304407,Oui,D (de 151 &agrave; 230),35000,,720.0,Non meublé,3,,72 m,Appartement,Rennes,691304407
688633446,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),413.0,Non meublé,1,nb-508,23 m,Appartement,Rennes,688633446
707377939,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),540.0,Non meublé,2,,37 m,Appartement,Rennes,707377939
707373454,,D (de 151 &agrave; 230),35000,B (de 6 &agrave; 10),500.0,Non meublé,3,,70 m,Appartement,Rennes,707373454
696116335,Oui,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),605.0,Non meublé,2,b305,49 m,Appartement,Rennes,696116335
669897723,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),305.0,Non meublé,1,10806,10 m,Appartement,Rennes,669897723
707361924,,G (de 451 &agrave; 590),35000,G (de 81 &agrave; 110),550.0,Non meublé,2,,45 m,Appartement,Rennes,707361924
707468148,Oui,,35000,,679.0,Non meublé,3,cormier,,Appartement,Rennes,707468148
707354537,Oui,A (moins de 50),35000,,580.0,Non meublé,2,central-square,41 m,Appartement,Rennes,707354537
707356803,Oui,A (moins de 50),35000,,573.0,Non meublé,2,central-square,43 m,Appartement,Rennes,707356803
707400105,Oui,D (de 151 &agrave; 230),35000,,942.0,Non meublé,4,949463,68 m,Appartement,Rennes,707400105
688559226,Oui,B (de 51 &agrave; 90),35000,,750.0,,,g00164178,57 m,Appartement,Rennes,688559226
634880544,Oui,D (de 151 &agrave; 230),35000,B (de 6 &agrave; 10),831.0,Non meublé,3,g275sl,74 m,Appartement,Rennes,634880544
707401921,Oui,C (de 91 &agrave; 150),35000,,692.0,Non meublé,3,938285,62 m,Appartement,Rennes,707401921
688681759,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),357.0,Non meublé,1,9301,16 m,Appartement,Rennes,688681759
420038860,Oui,,35000,,377.0,Non meublé,1,,30 m,Appartement,Rennes,420038860
707400109,Oui,D (de 151 &agrave; 230),35000,,605.0,Non meublé,2,949470,44 m,Appartement,Rennes,707400109
707400102,Oui,E (de 231 &agrave; 330),35000,,449.0,Non meublé,2,949441,39 m,Appartement,Rennes,707400102
674966882,,,35000,,520.0,Non meublé,3,,60 m,Appartement,Rennes,674966882
636813392,Oui,E (de 231 &agrave; 330),35000,,470.0,Non meublé,2,ges11520670-227,39 m,Appartement,Rennes,636813392
707479266,Oui,,35000,,691.0,Non meublé,3,papu,65 m,Appartement,Rennes,707479266
688576069,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),493.0,Non meublé,2,ges33110033-67,42 m,Appartement,Rennes,688576069
707321954,Oui,D (de 151 &agrave; 230),35000,F (de 56 &agrave; 80),602.0,Non meublé,2,ofw-3883-7028-f,41 m,Appartement,Rennes,707321954
707400074,Oui,D (de 151 &agrave; 230),35000,,590.0,Non meublé,2,939566,42 m,Appartement,Rennes,707400074
544516884,Oui,C (de 91 &agrave; 150),35000,,628.0,Non meublé,2,2889-ap,38 m,Appartement,Rennes,544516884
707275094,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),530.0,Non meublé,2,,39 m,Appartement,Rennes,707275094
707272326,,D (de 151 &agrave; 230),35000,B (de 6 &agrave; 10),310.0,Meublé,,,70 m,Appartement,Rennes,707272326
707264628,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),445.0,Non meublé,2,,40 m,Appartement,Rennes,707264628
707254653,,F (de 331 &agrave; 450),35000,D (de 21 &agrave; 35),523.0,Non meublé,2,,39 m,Appartement,Rennes,707254653
707240604,,,35000,,550.0,Meublé,,,30 m,Appartement,Rennes,707240604
707205946,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),430.0,Non meublé,2,,20 m,Appartement,Rennes,707205946
707197956,,,35000,,550.0,Non meublé,2,,42 m,Appartement,Rennes,707197956
707187844,,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),630.0,Non meublé,2,,43 m,Appartement,Rennes,707187844
643065671,Non,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),360.0,Non meublé,1,l12df,21 m,Appartement,Rennes,643065671
707172619,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),475.0,Non meublé,2,,54 m,Appartement,Rennes,707172619
707156171,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),760.0,Non meublé,3,,65 m,Appartement,Rennes,707156171
699767535,,A (moins de 50),35000,C (de 11 &agrave; 20),530.0,Non meublé,2,,45 m,Appartement,Rennes,699767535
707104070,,,35000,,517.0,Meublé,1,,18 m,Appartement,Rennes,707104070
629300787,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),750.0,Non meublé,4,2732_9529556,69 m,Appartement,Rennes,629300787
707087225,,A (moins de 50),35000,A (moins de 5),774.0,Non meublé,,,75 m,Appartement,Rennes,707087225
707081798,Oui,,35000,,710.0,Non meublé,3,g00360842,69 m,Appartement,Rennes,707081798
688515403,Oui,B (de 51 &agrave; 90),35000,D (de 21 &agrave; 35),527.0,Non meublé,3,fl0411055,,Appartement,Rennes,688515403
707295641,Oui,A (moins de 50),35000,C (de 11 &agrave; 20),448.0,Non meublé,2,g1236sb,36 m,Appartement,Rennes,707295641
707061613,,C (de 91 &agrave; 150),35000,C (de 11 &agrave; 20),500.0,Non meublé,2,,33 m,Appartement,Rennes,707061613
707221743,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),525.0,Non meublé,2,6535,50 m,Appartement,Rennes,707221743
707039458,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),520.0,Non meublé,2,,45 m,Appartement,Rennes,707039458
688318384,Oui,E (de 231 &agrave; 330),35000,,660.0,,3,ges12200001-227,63 m,Appartement,Rennes,688318384
707161044,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),490.0,Non meublé,1,ofw-11311-2582-f,24 m,Appartement,Rennes,707161044
705353724,,B (de 51 &agrave; 90),35000,D (de 21 &agrave; 35),650.0,Non meublé,3,,68 m,Appartement,Rennes,705353724
707003033,,Vierge,35000,Vierge,250.0,Meublé,1,,15 m,Appartement,Rennes,707003033
688248775,Oui,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),770.0,Non meublé,3,26135,63 m,Appartement,Rennes,688248775
706990982,Oui,,35000,,484.0,Non meublé,2,g00163026,39 m,Appartement,Rennes,706990982
707216465,Oui,A (moins de 50),35000,,545.0,Non meublé,2,3913,39 m,Appartement,Rennes,707216465
707221739,Oui,,35000,,530.0,Non meublé,2,7038,49 m,Appartement,Rennes,707221739
707161045,Oui,,35000,,580.0,Non meublé,2,ofw-15350-11212-b,43 m,Appartement,Rennes,707161045
706997062,Oui,,35000,,615.0,Non meublé,2,134-2977,42 m,Appartement,Rennes,706997062
706958089,,E (de 231 &agrave; 330),35000,F (de 56 &agrave; 80),560.0,Non meublé,2,,46 m,Appartement,Rennes,706958089
688199514,Oui,C (de 91 &agrave; 150),35000,,490.0,Non meublé,2,62377,480 m,Appartement,Rennes,688199514
706949583,Oui,D (de 151 &agrave; 230),35000,,454.0,Non meublé,1,60505,30 m,Appartement,Rennes,706949583
628919101,Oui,D (de 151 &agrave; 230),35000,,729.0,Non meublé,3,b316.-a210,60 m,Appartement,Rennes,628919101
706910012,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),890.0,Meublé,4,,75 m,Appartement,Rennes,706910012
664674321,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),782.0,Non meublé,3,g1807ma,60 m,Appartement,Rennes,664674321
706900689,,F (de 331 &agrave; 450),35000,D (de 21 &agrave; 35),,,1,,10 m,Appartement,Rennes,706900689
628913638,Oui,D (de 151 &agrave; 230),35000,,568.0,Non meublé,2,14,40 m,Appartement,Rennes,628913638
688316054,Oui,C (de 91 &agrave; 150),35000,,1030.0,,4,ges11200001-227,90 m,Appartement,Rennes,688316054
706856939,,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),435.0,Non meublé,1,,25 m,Appartement,Rennes,706856939
706844757,,,35000,,1.0,Meublé,1,,18 m,Appartement,Rennes,706844757
706837178,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),290.0,,1,,14 m,Appartement,Rennes,706837178
706825446,,E (de 231 &agrave; 330),35000,D (de 21 &agrave; 35),600.0,Meublé,1,,22 m,Appartement,Rennes,706825446
706795354,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),385.0,Non meublé,1,,24 m,Appartement,Rennes,706795354
705475325,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),710.0,Non meublé,3,,76 m,Appartement,Rennes,705475325
706762136,,,35000,,240.0,Meublé,1,,15 m,Appartement,Rennes,706762136
702535461,,D (de 151 &agrave; 230),35000,B (de 6 &agrave; 10),515.0,,2,,47 m,Appartement,Rennes,702535461
706713882,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),650.0,Non meublé,3,09-14-cyi-0229,56 m,Appartement,Rennes,706713882
706819317,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),418.0,Non meublé,2,12856v,32 m,Appartement,Rennes,706819317
706667605,,C (de 91 &agrave; 150),35000,A (moins de 5),740.0,Non meublé,2,,48 m,Appartement,Rennes,706667605
706643926,,,35000,,30.0,Meublé,4,,80 m,Appartement,Rennes,706643926
701464463,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),750.0,Non meublé,4,,69 m,Appartement,Rennes,701464463
706819315,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),613.0,Non meublé,2,12483,42 m,Appartement,Rennes,706819315
706666743,Oui,,35000,,735.0,Non meublé,3,t.p,70 m,Appartement,Rennes,706666743
706614376,Non,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),560.0,,3,02,67 m,Appartement,Rennes,706614376
706643634,Oui,,35000,,503.0,Non meublé,1,60754,20 m,Appartement,Rennes,706643634
706629963,Oui,F (de 331 &agrave; 450),35000,,482.0,Non meublé,1,60789,24 m,Appartement,Rennes,706629963
706602767,,D (de 151 &agrave; 230),35000,B (de 6 &agrave; 10),420.0,Non meublé,1,,20 m,Appartement,Rennes,706602767
706588293,,,35000,,205.0,,3,,50 m,Appartement,Rennes,706588293
706585689,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),700.0,Non meublé,3,,60 m,Appartement,Rennes,706585689
706582860,,F (de 331 &agrave; 450),35000,G (de 81 &agrave; 110),285.0,Meublé,1,,11 m,Appartement,Rennes,706582860
706589659,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),747.0,Non meublé,3,12185v,69 m,Appartement,Rennes,706589659
706589600,Oui,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),908.0,Non meublé,4,8463v,84 m,Appartement,Rennes,706589600
706599122,Oui,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),665.0,Non meublé,3,ofw-12790-39137-c,56 m,Appartement,Rennes,706599122
