,Nom,Prix(€),Informations Supplementaires,Reference url
30,DDR4 Corsair Dominator Platinum RGB Blanc - 32 Go (4 x 8 Go) 3200 MHz - CAS 16,267.29,Kit Quad Channel - Mémoire DDR4 optimisée Intel et AMD - PC-25600 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20003238.html
31,DDR4 Corsair Dominator Platinum RGB Blanc - 32 Go (4 x 8 Go) 3200 MHz - CAS 16,275.48,Kit Quad Channel - Mémoire DDR4 optimisée Intel - PC-25600 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20003236.html
32,DDR4 Corsair Dominator Platinum RGB Blanc - 32 Go (4 x 8 Go) 3200 MHz - CAS 16,262.21,Mémoire DDR4 optimisée Intel et AMD - PC-25600 - RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20013955.html
33,DDR4 Corsair Dominator Platinum RGB Blanc - 32 Go (4 x 8 Go) 3600 MHz - CAS 18,297.2,Kit Quad Channel - Mémoire DDR4 optimisée Intel et AMD - PC-28800 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20003241.html
34,DDR4 Corsair Dominator Platinum RGB Blanc - 64 Go (4 x 16 Go) 3200 MHz - CAS 16,392.78,Mémoire DDR4 optimisée Intel et AMD - PC-25600 - RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20013956.html
35,DDR4 Corsair Dominator Platinum RGB Blanc - 64 Go (4 x 16 Go) 3600 MHz - CAS 18,418.34,Kit Quad Channel - Mémoire DDR4 optimisée Intel et AMD - PC-28800 - LED RGB,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20003239.html
36,DDR4 Corsair Value Select - 4 Go 2133 MHz - CAS 15,22.26,Mémoire DDR4 optimisée Intel - PC-17000 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10089946.html
37,DDR4 Corsair Value Select - 4 Go 2400 MHz - CAS 16,22.09,Mémoire DDR4 optimisée Intel - PC-19200 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10114670.html
38,DDR4 Corsair Value Select - 8 Go 2133 MHz - CAS 15,29.82,Mémoire DDR4 optimisée Intel et AMD - PC-17000 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10089947.html
39,DDR4 Corsair Value Select - 8 Go 2400 MHz - CAS 16,29.99,Mémoire DDR4 optimisée Intel - PC-19200 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10114671.html
40,DDR4 Corsair Value Select - 8 Go 2666 MHz - CAS 18,31.16,Mémoire DDR4 optimisée Intel - PC-21300 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10117367.html
41,DDR4 Corsair Vengeance LPX Blanc - 16 Go (2 x 8 Go) 2666 MHz - CAS 16,65.92,Kit Dual Channel - Mémoire DDR4 optimisée Intel - PC-21300 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10097417.html
42,DDR4 Corsair Vengeance LPX Blanc - 16 Go (2 x 8 Go) 3000 MHz - CAS 16,66.09,Kit Dual Channel - Mémoire DDR4 optimisée Intel et AMD - PC-24000 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10117365.html
43,DDR4 Corsair Vengeance LPX Blanc - 16 Go (2 x 8 Go) 3200 MHz - CAS 16,66.0,Kit Dual Channel - Mémoire DDR4 optimisée Intel et AMD - PC-25600 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10097421.html
44,DDR4 Corsair Vengeance LPX Blanc - 16 Go (2 x 8 Go) 3200 MHz - CAS 16,64.43,Kit Dual Channel - Mémoire DDR4 optimisée Intel - PC-25600 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20009258.html
45,DDR4 Corsair Vengeance LPX Blanc - 32 Go (2 x 16 Go) 3200 MHz - CAS 16,112.82,Kit Dual Channel - Mémoire DDR4 optimisée Intel - PC-25600 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20009257.html
46,DDR4 Corsair Vengeance LPX Noir - 128 Go (4 x 32 Go) 3200 MHz - CAS 16,468.88,Kit Quad Channel - Mémoire DDR4 optimisée Intel - PC-25600 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20000432.html
47,DDR4 Corsair Vengeance LPX Noir - 128 Go (4 x 32 Go) 3600 MHz - CAS 18,492.0,Kit Quad Channel - Mémoire DDR4 optimisée Intel et AMD - PC-28800 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20011310.html
48,DDR4 Corsair Vengeance LPX Noir - 128 Go (4 x 32 Go) 3600 MHz - CAS 18,498.0,Kit Quad Channel - Mémoire DDR4 optimisée Intel - PC-28800 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in20000448.html
49,DDR4 Corsair Vengeance LPX Noir - 16 Go (2 x 8 Go) 2133 MHz - CAS 13,57.92,Kit Dual Channel - Mémoire DDR4 optimisée Intel - PC-17000 - Low-Profile,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wme_ddr4_puis_ref_est_in10096625.html
